acId,acType,depArpt,time,climb_rate,latitude,longitude,pressure_altitude
AAL282,B738,CYVR,1490894044672,-3.384790170991403E-11,37.092787266680745,-102.340626845749,37000.0
AAL282,B738,CYVR,1490894056493,-3.384790170991403E-11,37.07097324607321,-102.3235568369874,37000.0
AAL282,B738,CYVR,1490894080277,-3.384790170991403E-11,37.02676093047256,-102.28987515163075,37000.0
AAL282,B738,CYVR,1490894092257,-3.384790170991403E-11,37.00438998190066,-102.27312256703495,37000.0
NKS730,A319,LAX,1490893962000,770.761027534443,34.91485821923371,-116.73609545624801,29298.884401901596
NKS730,A319,LAX,1490893974000,770.761027534443,34.93371838291526,-116.70987044012881,29453.036607408485
NKS730,A319,LAX,1490893987000,770.761027534443,34.954754333185974,-116.68216787011454,29620.034830040946
NKS730,A319,LAX,1490893999000,770.761027534443,34.97382240260944,-116.65737442187965,29774.187035547835
NKS730,A319,LAX,1490894012000,770.761027534443,34.99357393549596,-116.63173868468868,29941.185258180296
NKS730,A319,LAX,1490894024000,770.761027534443,35.01094962867245,-116.60958717041686,30095.337463687185
NKS730,A319,LAX,1490894049000,-8.88797346506286E-12,35.0445152229577,-116.5657550955241,30100.0
NKS730,A319,LAX,1490894061000,-8.88797346506286E-12,35.060287322214606,-116.5441601469642,30100.0
N7288Y,PA30,CRE,1490832725010,,34.083412621483546,-78.72231742580362,
N7288Y,PA30,CRE,1490832738030,,34.09721676466572,-78.72060318647151,
N7288Y,PA30,CRE,1490832773550,,34.122412317644375,-78.72269576633975,
N7288Y,PA30,CRE,1490832798190,,34.135814064487306,-78.72111933022394,
N7288Y,PA30,CRE,1490832828300,,34.15397733943706,-78.72278944439384,
N7288Y,PA30,CRE,1490832853130,,34.16927257495411,-78.72243711561075,
N7288Y,PA30,CRE,1490832858240,,34.1724841883719,-78.72261692675946,
N7288Y,PA30,CRE,1490832883200,,34.18763496208658,-78.72225471746634,
CADDO99,C17,LTS,1490895227000,,34.38719999999998,-100.91749999999999,
CADDO99,C17,LTS,1490895239000,,34.412199999999984,-100.93329999999997,
CADDO99,C17,LTS,1490895264000,,34.43689999999992,-100.94889999999995,
VIPER01,F16,SSC,1490893199000,,33.15469999999996,-87.78190000000002,
VIPER01,F16,SSC,1490893212000,,33.1789,-87.81109999999998,
VIPER01,F16,SSC,1490893237000,,33.202799999999996,-87.8403,
N733AH,C172,ZZ2,1490891575816,,36.083670853048545,-119.97470314542365,
N733AH,C172,ZZ2,1490891580792,,36.082079160361786,-119.97212135515359,
N733AH,C172,ZZ2,1490891606016,,36.074367119328514,-119.95872277766921,
N733AH,C172,ZZ2,1490891636004,,36.06452289233857,-119.94044934746756,
N733AH,C172,ZZ2,1490891666004,,36.05464286066834,-119.92223000318509,
N733AH,C172,ZZ2,1490891720804,,36.035807360610704,-119.89370262268856,
N733AH,C172,ZZ2,1490891751032,,36.023891979185066,-119.88317270812152,
SYN825,C560,CYMM,1490911136000,,56.6333,-111.0667,3700.0
SYN825,C560,CYMM,1490911197000,,56.7,-111.05,4000.0
SYN825,C560,CYMM,1490911256000,,56.7667,-111.0167,4000.0
SYN825,C560,CYMM,1490911316000,,56.8333,-111.0833,4000.0
SYN825,C560,CYMM,1490911376000,,56.8667,-111.1667,4000.0
SYN825,C560,CYMM,1490911436000,,56.9167,-111.2667,4000.0
SYN825,C560,CYMM,1490911497000,,56.9667,-111.3167,3200.0
SYN825,C560,CYMM,1490911557000,,57.0,-111.4,2300.0
SYN825,C560,CYMM,1490911616000,,57.0167,-111.45,1500.0
SYN825,C560,CYMM,1490911676000,,57.05,-111.5167,1100.0
MTN8345,C208,PKB,1490873791672,,39.154663213477164,-81.78874462983785,
MTN8345,C208,PKB,1490873803648,,39.14981827174637,-81.79889461348813,
MTN8345,C208,PKB,1490873809840,,39.14722973493363,-81.80394671031195,
N416WB,S22T,HEF,1490886863808,,37.81165548966743,-79.43114447466748,
N416WB,S22T,HEF,1490886869820,,37.80901904233224,-79.43606294036788,
SWA3835,B738,SEA,1490839953000,1.2869530786576428E-11,39.31099420871894,-118.68094551638497,37000.0
SWA3835,B738,SEA,1490839965000,1.2869530786576428E-11,39.289075924965175,-118.66822163790285,37000.0
